,vliegtuig_categorie,FlightType,SEL_dB,SEL
0,A330,Arrivals,78.6804057099624,324403009.86855274
1,A330,Departures,79.13114965035822,393497216.32179976
2,A350,Arrivals,73.80673373408938,165683530.2633367
3,A350,Departures,77.3341108050575,171925069.60314915
